Frame,Food Name(s),Confidence(%)
292,Banh_khot,88
293,Banh_khot,85
294,Banh_khot,85
295,Banh_khot,95
296,Banh_khot,90
297,Banh_khot,90
298,Banh_khot,82
299,Banh_khot,59
300,Banh_khot,93
301,Banh_khot,89
302,Banh_khot,88
303,Banh_khot,85
304,Banh_khot,93
305,Banh_khot,93
306,Banh_khot,92
307,Banh_khot,85
308,Banh_khot,95
309,Banh_khot,94
310,Banh_khot,92
311,Banh_khot,82
312,Banh_khot,95
313,Banh_khot,94
314,Banh_khot,91
315,Banh_khot,86
316,Banh_khot,95
317,Banh_khot,91
318,Banh_khot,90
319,Banh_khot,87
320,Banh_khot,94
321,Banh_khot,91
322,Banh_khot,90
323,Banh_khot,89
324,Banh_khot,94
325,Banh_khot,89
326,Banh_khot,88
327,Banh_khot,86
328,Banh_khot,95
329,Banh_khot,89
330,Banh_khot,87
331,Banh_khot,83
332,Banh_khot,95
333,Banh_khot,88
334,Banh_khot,88
335,Banh_khot,86
336,Banh_khot,94
337,Banh_khot,85
338,Banh_khot,84
339,Banh_khot,81
340,Banh_khot,95
341,Banh_khot,89
342,Banh_khot,86
343,Banh_khot,82
344,Banh_khot,95
345,Banh_khot,89
346,Banh_khot,84
347,Banh_khot,79
348,Banh_khot,95
349,Banh_khot,83
350,Banh_khot,82
351,Banh_khot,72
352,Banh_khot,57
353,Banh_khot,96
354,Banh_khot,84
355,Banh_khot,83
356,Banh_khot,79
357,Banh_khot,95
358,Banh_khot,89
359,Banh_khot,84
360,Banh_khot,75
361,Banh_khot,94
362,Banh_khot,89
363,Banh_khot,86
364,Banh_khot,69
365,Banh_khot,63
366,Banh_khot,94
367,Banh_khot,86
368,Banh_khot,80
369,Banh_khot,71
370,Banh_khot,64
371,Banh_khot,93
372,Banh_khot,90
373,Banh_khot,87
374,Banh_khot,83
375,Banh_khot,76
376,Banh_khot,92
377,Banh_khot,89
378,Banh_khot,86
379,Banh_khot,82
380,Banh_khot,72
381,Banh_khot,92
382,Banh_khot,86
383,Banh_khot,84
384,Banh_khot,61
385,Banh_khot,55
386,Banh_khot,93
387,Banh_khot,86
388,Banh_khot,64
389,Banh_khot,94
390,Banh_khot,87
391,Banh_khot,85
392,Banh_khot,84
393,Banh_khot,94
394,Banh_khot,93
395,Banh_khot,88
396,Banh_khot,87
397,Banh_khot,69
398,Banh_khot,91
399,Banh_khot,91
400,Banh_khot,89
401,Banh_khot,88
402,Banh_khot,64
403,Banh_khot,93
404,Banh_khot,91
405,Banh_khot,86
406,Banh_khot,83
407,Banh_khot,68
408,Banh_khot,92
409,Banh_khot,90
410,Banh_khot,89
411,Banh_khot,87
412,Banh_khot,69
413,Banh_khot,94
414,Banh_khot,93
415,Banh_khot,89
416,Banh_khot,84
417,Banh_khot,70
418,Banh_khot,89
419,Banh_khot,85
420,Banh_khot,84
421,Banh_khot,81
422,Banh_khot,67
423,Banh_khot,88
424,Banh_khot,85
425,Banh_khot,79
426,Banh_khot,51
427,Banh_khot,72
428,Banh_khot,72
429,Banh_khot,64
430,Banh_khot,55
431,Banh_khot,66
432,Banh_khot,63
433,Banh_khot,57
434,Banh_khot,57
435,Banh_khot,72
436,Banh_khot,70
437,Banh_khot,76
438,Banh_khot,62
439,Banh_khot,56
440,Banh_khot,70
441,Banh_khot,60
442,Banh_khot,53
443,Banh_khot,52
444,Banh_khot,51
445,Banh_khot,68
446,Banh_khot,52
447,Banh_khot,52
448,Banh_khot,70
449,Banh_khot,60
450,Banh_khot,53
451,Banh_khot,90
452,Banh_khot,87
453,Banh_khot,76
454,Banh_khot,81
455,Banh_khot,81
456,Banh_khot,65
457,Banh_khot,83
458,Banh_khot,73
459,Banh_khot,76
460,Banh_khot,67
461,Banh_khot,65
462,Banh_khot,67
463,Banh_khot,66
464,Banh_khot,76
465,Banh_khot,79
466,Banh_khot,78
467,Banh_khot,73
468,Banh_khot,80
469,Banh_khot,66
470,Banh_khot,85
471,Banh_khot,71
472,Banh_khot,79
473,Banh_khot,71
474,Banh_khot,62
475,Banh_khot,51
476,Banh_khot,61
477,Banh_khot,64
478,Banh_khot,57
479,Banh_khot,72
480,Banh_khot,63
481,Banh_khot,80
482,Banh_khot,69
483,Banh_khot,71
484,Banh_khot,61
485,Banh_khot,66
486,Banh_khot,63
487,Banh_khot,63
488,Banh_khot,53
489,Banh_khot,70
490,Banh_khot,73
491,Banh_khot,53
492,Banh_khot,71
493,Banh_khot,54
494,Banh_khot,65
495,Banh_khot,59
496,Banh_khot,67
497,Banh_khot,56
498,Banh_khot,74
499,Banh_khot,69
500,Banh_khot,68
501,Banh_khot,77
502,Banh_khot,84
503,Banh_khot,70
504,Banh_khot,86
505,Banh_khot,68
506,Banh_khot,86
507,Banh_khot,71
508,Banh_khot,85
509,Banh_khot,57
510,Banh_khot,79
511,Banh_khot,65
512,Banh_khot,70
513,Banh_khot,54
514,Banh_khot,75
515,Banh_khot,72
516,Banh_khot,67
517,Banh_khot,68
518,Banh_khot,56
519,Banh_khot,75
520,Banh_khot,64
521,Banh_khot,67
522,Banh_khot,51
523,Banh_khot,65
524,Banh_khot,61
525,Banh_khot,52
526,Banh_khot,64
527,Banh_khot,52
